Product Name,Unit Price,ID,Payment Gateway,Card Brand,Bank,Region,Address,Email
Breville Smart Coffee Grinder Pro,199.95,194,MercadoPago,VISA,Banco BCI,Región Metropolitana de Santiago,Villarrica 444,qweztuj@mail.com
Adidas Ultraboost Running Shoes,179.99,195,MercadoPago,VISA,Banco de Chile,Región de La Araucanía,Av. O'Higgins 678,omkppaf@example.com
The Road by Cormac McCarthy,11.99,196,EtPay,VISA,Santander,Región de Los Ríos,Plaza Italia 111,cithnfj@fake.co
Tom Ford Black Orchid Perfume,125.0,197,EtPay,Mastercard,Santander,Región de Aysén del General Carlos Ibáñez del Campo,Valdivia 555,rqreqws@example.com
GoPro HERO9 Black,449.99,198,EtPay,AMEX,Banco Estado,Región de Los Lagos,La Serena 666,bcdedke@random.org
Apple TV 4K,179.0,199,EtPay,AMEX,Banco BCI,Región de Coquimbo,Av. O'Higgins 678,iqzfyic@fake.co
Instant Pot Duo Nova,99.95,200,Kiphu,VISA,Banco Falabella,Región de La Araucanía,Camino del Inca 1010,tccwbop@fake.co
Gap 1969 Original Fit Jeans,59.99,201,Webpay,AMEX,Banco Falabella,Región de Los Lagos,Puerto Varas 333,iswvotp@fake.co
The Goldfinch by Donna Tartt,14.99,202,Webpay,Mastercard,Banco de Chile,Región del Maule,La Florida 789,ujdieya@test.com
Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,52.0,203,EtPay,VISA,Banco BCI,Región de Tarapacá,Villarrica 444,rebjwke@test.com
Yeti Tundra Haul Portable Wheeled Cooler,399.99,204,Webpay,Mastercard,Banco Falabella,Región de Antofagasta,La Florida 789,hviafxd@example.com
Samsung Galaxy Watch 4,299.99,205,Kiphu,Mastercard,Banco Estado,Región de Los Lagos,Valdivia 555,zhwefzt@email.com
KitchenAid Stand Mixer,379.99,206,EtPay,Mastercard,Banco Estado,Región del Maule,Los Alerces 456,cydcrua@test.com
Lululemon Wunder Under High-Rise Leggings,98.0,207,EtPay,AMEX,Banco de Chile,Región de Aysén del General Carlos Ibáñez del Campo,Av. Siempre Viva 742,anruruw@fake.co
The Great Alone by Kristin Hannah,16.99,208,Webpay,AMEX,Banco Falabella,Región del Libertador General Bernardo O'Higgins,Plaza Italia 111,pveletb@test.com
Caudalie Vinoperfect Radiance Serum,79.0,209,EtPay,Mastercard,Banco Falabella,Región de Tarapacá,Calle Falsa 123,wkadvkt@random.org
Bose SoundLink Color Bluetooth Speaker II,129.0,210,Webpay,VISA,Banco Estado,Región Metropolitana de Santiago,Villarrica 444,kvuyfxv@example.com
Canon EOS Rebel T7i DSLR Camera,749.99,211,MercadoPago,AMEX,Banco Falabella,Región de Los Lagos,Gran Avenida 567,cwwfucs@email.com
Keurig K-Elite Coffee Maker,169.99,212,MercadoPago,AMEX,Banco Estado,Región de Atacama,Camino del Inca 1010,pdrswtd@test.com
Uniqlo Airism Seamless Boxer Briefs,9.9,213,EtPay,AMEX,Banco Estado,Región del Maule,Providencia 234,rqtlamf@mail.com
The Girl with the Dragon Tattoo by Stieg Larsson,10.99,214,Webpay,VISA,Banco BCI,Región de Antofagasta,La Florida 789,vqrfvth@random.org
L'Occitane Shea Butter Hand Cream,29.0,215,Webpay,VISA,Santander,Región de Los Ríos,La Florida 789,fbwdbve@fake.co
YETI Tundra 65 Cooler,349.99,216,Webpay,VISA,Banco Falabella,Región de Tarapacá,Paseo Ahumada 890,dkdrtek@email.com
Apple MacBook Pro 16-inch,2399.0,217,MercadoPago,AMEX,Banco Falabella,Región de Aysén del General Carlos Ibáñez del Campo,La Florida 789,qjtvevk@email.com
iRobot Braava Jet M6,449.99,218,Webpay,Mastercard,Banco Estado,Región de La Araucanía,Av. O'Higgins 678,xnvuehx@example.com
Champion Reverse Weave Hoodie,49.99,219,Kiphu,AMEX,Santander,Región de Ñuble,Av. O'Higgins 678,hnfewwj@example.com
The Nightingale by Kristin Hannah,12.99,220,MercadoPago,VISA,Santander,Región de Ñuble,Villarrica 444,hliaumk@example.com
Tarte Shape Tape Concealer,27.0,221,Webpay,AMEX,Banco Falabella,Región de Coquimbo,Villarrica 444,zkhvldb@random.org
Garmin Forerunner 945,599.99,222,Webpay,VISA,Santander,Región de Antofagasta,Av. O'Higgins 678,rjrehti@mail.com
Amazon Echo Dot (4th Gen),49.99,223,Kiphu,AMEX,Banco Falabella,Región de Coquimbo,La Serena 666,vrrkpbl@email.com
Philips Sonicare DiamondClean Toothbrush,229.99,224,Kiphu,AMEX,Santander,Región de Coquimbo,Valdivia 555,oacykvm@mail.com
Old Navy Mid-Rise Rockstar Super Skinny Jeans,44.99,225,Kiphu,AMEX,Santander,Región de Atacama,Camino del Inca 1010,objihte@example.com
The Silent Patient by Alex Michaelides,26.99,226,EtPay,VISA,Banco de Chile,Región de Arica y Parinacota,Villarrica 444,lysuwbh@random.org
The Ordinary Caffeine Solution 5% + EGCG,6.7,227,Kiphu,Mastercard,Santander,Región del Libertador General Bernardo O'Higgins,Av. O'Higgins 678,lhcnuzv@random.org
Fitbit Luxe,149.95,228,Kiphu,AMEX,Banco BCI,Región del Libertador General Bernardo O'Higgins,Av. Siempre Viva 742,ekwtbnh@test.com
Google Nest Wifi Router,169.0,229,Kiphu,AMEX,Banco de Chile,Región de Ñuble,Av. Siempre Viva 742,hlqkoop@example.com
Anova Precision Oven,599.0,230,Webpay,Mastercard,Banco Falabella,Región de Atacama,Av. O'Higgins 678,ypirlip@mail.com
Adidas Originals Trefoil Hoodie,64.99,231,Webpay,VISA,Banco Falabella,Región de Antofagasta,Camino del Inca 1010,guraily@test.com
Dune by Frank Herbert,9.99,232,Kiphu,VISA,Banco de Chile,Región de Tarapacá,Av. Siempre Viva 742,uefuzpn@mail.com
Fresh Sugar Lip Treatment,24.0,233,MercadoPago,AMEX,Santander,Región de Antofagasta,Camino del Inca 1010,jsheygp@fake.co
Hydro Flask Standard Mouth Water Bottle,32.95,234,Kiphu,VISA,Banco de Chile,Región de Los Lagos,Paseo Ahumada 890,twtgvii@test.com
Bose QuietComfort 35 II Wireless Headphones,299.0,235,Webpay,VISA,Banco Estado,Región de Aysén del General Carlos Ibáñez del Campo,Camino del Inca 1010,xkivlex@example.com
Nespresso Vertuo Next Coffee and Espresso Maker,159.99,236,Webpay,VISA,Banco Estado,Región de Aysén del General Carlos Ibáñez del Campo,Providencia 234,xqkyxdp@test.com
Nike Air Force 1 Sneakers,90.0,237,Kiphu,VISA,Banco de Chile,Región de Atacama,La Serena 666,ffxzcnw@test.com
The Handmaid's Tale by Margaret Atwood,10.99,238,MercadoPago,AMEX,Banco Falabella,Región de Los Ríos,Puerto Varas 333,gokfrbw@test.com
Sunday Riley Luna Sleeping Night Oil,55.0,239,MercadoPago,VISA,Banco BCI,Región de Tarapacá,Villarrica 444,lxcstbl@fake.co
Yeti Rambler 20 oz Tumbler,29.99,240,EtPay,Mastercard,Banco de Chile,Región Metropolitana de Santiago,Av. Siempre Viva 742,uzelmjq@test.com
